,Collection,Sales,Change (24h),Buyers,Txns,Number of News,Number of Instagram Posts
168,Magic Ticket,"$41,122",-14.56%,228,459,100,0
169,Grim Syndicate,"$40,105",64.79%,28,44,8,1
170,Galactic Gecko Space,"$40,053",73.10%,17,36,2,0
171,Citizens by Solsteads,"$39,066",8.07%,86,120,0,0
172,Quantum Traders,"$39,030",106.69%,41,72,69,0
173,inbetweeners,"$38,753",-33.78%,28,30,38,83
174,Pixl Pets,"$38,549",-10.04%,25,61,0,0
175,Tubby Cats,"$38,342",-21.10%,36,45,1,2
176,Curio Cards,"$38,238",79.53%,13,23,10,0
177,Sup Ducks,"$38,127",-38.99%,14,18,2,84
178,Cursed Labs,"$38,095",365.98%,59,89,4,0
179,Monkey Baby Business,"$38,039",-82.53%,7,12,46,0
180,frank,"$37,186",420.08%,11,23,100,0
181,Boss Beauties,"$36,932",-73.95%,10,11,24,0
182,Gutter Cat Gang,"$36,744",-5.93%,1,2,2,0
183,Gutter Rats,"$36,300",83.88%,6,9,2,0
184,I Like You You re Weird,"$36,112",66.29%,59,90,99,0
185,MidnightBreeze,"$35,788",46.52%,12,18,0,0
186,Generous Robots DAO,"$34,878",-14.95%,14,20,0,0
187,Magnum AI,"$34,807",376.25%,61,115,5,0
188,WonderPals,"$34,090",-19.14%,48,54,0,0
189,Habibiz,"$33,885",17.97%,11,15,1,0
190,CryptoMories,"$32,786",92.40%,27,32,0,0
191,DEFY Genesis Mask,"$31,071",43.01%,19,20,1,0
192,Galaxy Fight Club,"$30,798",97.97%,14,16,35,0
193,Reb3l Bots,"$30,496",-31.81%,14,18,0,0
194,Sunflower Land Farms,"$30,466",-53.13%,330,507,18,0
195,Treeverse,"$29,973",120.13%,5,9,0,0
196,Nuked Ape,"$29,318",25.22%,10,10,0,0
197,The Doge Pound,"$29,073",130.65%,11,15,5,0
198,The Shiboshis,"$29,065",-44.33%,8,14,1,0
199,SuperNormalbyZipcy,"$29,001",12.01%,19,32,0,0
200,Avastars,"$28,948","2,475.68%",43,63,0,0
201,Ballerz,"$28,441",44.36%,25,66,6,0
202,Hero Galaxy: Artifacts,"$28,279",-15.26%,40,91,4,0
203,The Currency Eth,"$27,938",-7.53%,3,3,100,0
204,Meekolony,"$27,713",164.40%,18,92,0,0
205,BYOLand,"$27,398",-30.64%,9,10,0,0
206,Smilesss,"$26,418",60.88%,13,14,1,0
207,fRiENDSiES,"$26,373",-37.36%,50,62,1,0
208,CatBloxGenesis,"$26,159",195.20%,21,46,0,0
209,Lifinity Flares,"$25,962",-38.54%,18,34,0,0
210,Thug Birdz,"$25,941",-18.42%,10,11,0,0
211,Remnant Camp,"$25,764",165.24%,24,30,14,0
212,Tamashi Soul,"$25,741",600.98%,53,69,0,0
213,CouncilOfKingz,"$25,507",122.67%,24,37,0,0
214,Degenerate Ape Kindergarten,"$24,787",-7.57%,4,4,0,0
215,Goopdoods,"$24,610",-28.23%,34,45,0,0
216,Kamakura,"$24,482",42.50%,79,111,19,0
217,GenesisApostle,"$24,409",160.99%,6,7,0,0
218,DeadzSol,"$24,104",-70.80%,259,572,0,0
219,Crypto Bull Society,"$23,929",50.07%,13,15,11,0
220,Eclypse Pass,"$23,847",122.68%,15,24,0,0
221,Loveless City Metropass,"$23,787",208.69%,21,27,0,0
222,Woodies Generative C,"$23,560",223.72%,24,32,0,0
223,Async Blueprints,"$23,181",-44.46%,1,1,0,0
224,SOL Decoder,"$22,784",19.57%,85,129,0,0
225,Farm Land by Pixels,"$22,387",-19.91%,17,22,2,0
226,Urban AIO Pass,"$22,211",3.75%,3,3,3,0
227,BYOPills,"$21,970",37.62%,9,9,0,0
228,Sailors World,"$21,337",-11.25%,89,191,100,0
229,BAPETAVERSE,"$20,701",-51.58%,9,11,0,0
230,Killer GF,"$20,571",32.98%,14,21,3,0
231,Tasty Bones,"$20,553",2.80%,22,28,71,0
232,PrimeEternalChampion,"$19,860",-36.41%,10,22,0,0
233,Pixel Faded Foxes,"$19,708",233.67%,40,57,0,0
234,LOSTPOETS,"$19,549",66.57%,16,29,0,0
235,Dracoo Master,"$19,426",-40.63%,18,35,11,0
236,Mavia Land,"$19,243",128.04%,6,7,1,0
237,Mintooor,"$18,634",33.86%,6,6,0,0
238,Genopets,"$18,530",16.45%,7,7,4,0
239,DystoApez,"$18,427",-0.09%,9,15,0,0
240,SlimHoods,"$18,358",-16.81%,12,12,0,0
241,CAC,"$18,140",-21.90%,23,39,35,0
242,Debonair Degen Hawks,"$18,127",-21.66%,43,51,0,0
243,LOOK LABS 420 Game Key,"$18,001",29.16%,17,37,4,0
244,Creamy Friends,"$17,980",-50.74%,78,94,99,0
245,JRNY NFT Club,"$17,940",-69.86%,6,6,1,0
246,Alien Worlds,"$17,443",-20.65%,609,3792,100,0
247,Flappyz,"$17,228",468.30%,23,47,0,0
248,MiningLabs,"$17,176",37.59%,42,47,0,0
249,hic et nunc,"$16,985",22.22%,714,1785,1,0
